Date,Share Price,NAV,Discount
7/26/2023 ,$24.54 ,$24.58 ,-0.16%
7/25/2023 ,$24.66 ,$24.58 ,0.33%
7/24/2023 ,$24.56 ,$24.48 ,0.33%
7/21/2023 ,$24.60 ,$24.39 ,0.86%
7/20/2023 ,$24.59 ,$24.49 ,0.41%
7/19/2023 ,$25.12 ,$24.86 ,1.05%
7/18/2023 ,$25.19 ,$24.87 ,1.29%
7/17/2023 ,$25.10 ,$24.78 ,1.29%
7/14/2023 ,$24.94 ,$24.64 ,1.22%
7/13/2023 ,$25.06 ,$24.65 ,1.66%
07/12/2023,$24.88 ,$24.37 ,2.09%
07/11/2023,$24.64 ,$24.14 ,2.07%
07/10/2023,$24.72 ,$24.06 ,2.74%
07/07/2023,$24.65 ,$24.12 ,2.20%
07/06/2023,$24.74 ,$24.18 ,2.32%
07/05/2023,$24.89 ,$24.29 ,2.47%
07/03/2023,$25.08 ,$24.30 ,3.21%
6/30/2023 ,$24.93 ,$24.27 ,2.72%
6/29/2023 ,$24.56 ,$23.98 ,2.42%
6/28/2023 ,$24.47 ,$24.00 ,1.96%
6/27/2023 ,$24.50 ,$23.98 ,2.17%
6/26/2023 ,$24.36 ,$23.66 ,2.96%
6/23/2023 ,$24.58 ,$23.93 ,2.72%
6/22/2023 ,$24.81 ,$24.10 ,2.95%
6/21/2023 ,$24.58 ,$23.85 ,3.06%
6/20/2023 ,$25.08 ,$24.10 ,4.07%
6/16/2023 ,$25.32 ,$24.08 ,5.15%
6/15/2023 ,$25.49 ,$24.35 ,4.68%
6/14/2023 ,$25.50 ,$24.18 ,5.46%
06/12/2023,$25.83 ,$24.43 ,5.73%
06/09/2023,$25.56 ,$24.23 ,5.49%
06/08/2023,$25.73 ,$24.20 ,6.32%
06/07/2023,$25.42 ,$24.06 ,5.53%
06/06/2023,$25.45 ,$24.26 ,4.91%
06/05/2023,$25.41 ,$24.19 ,5.04%
06/02/2023,$24.91 ,$24.17 ,3.06%
06/01/2023,$24.85 ,$24.03 ,3.41%
5/31/2023 ,$24.75 ,$23.85 ,3.77%
5/30/2023 ,$25.07 ,$23.91 ,4.83%
5/26/2023 ,$25.23 ,$23.83 ,5.87%
5/25/2023 ,$24.13 ,$23.56 ,2.42%
5/24/2023 ,$23.60 ,$23.16 ,1.90%
5/23/2023 ,$23.94 ,$23.26 ,2.92%
5/22/2023 ,$24.17 ,$23.53 ,2.72%
5/19/2023 ,$24.68 ,$23.46 ,5.20%
5/18/2023 ,$24.99 ,$23.54 ,6.14%
5/17/2023 ,$24.50 ,$23.36 ,4.88%
5/16/2023 ,$24.26 ,$23.18 ,4.66%
5/15/2023 ,$23.97 ,$23.17 ,3.45%
05/12/2023,$23.96 ,$23.12 ,3.63%
05/11/2023,$23.88 ,$23.14 ,3.20%
05/10/2023,$23.83 ,$23.09 ,3.20%
05/09/2023,$23.76 ,$22.91 ,3.71%
05/08/2023,$23.64 ,$23.03 ,2.65%
05/05/2023,$23.71 ,$22.97 ,3.22%
05/04/2023,$23.21 ,$22.62 ,2.61%
05/03/2023,$23.44 ,$22.70 ,3.26%
05/02/2023,$23.44 ,$22.80 ,2.81%
05/01/2023,$23.73 ,$22.90 ,3.62%
4/27/2023 ,$23.72 ,$22.75 ,4.26%
4/26/2023 ,$23.08 ,$22.27 ,3.64%
4/25/2023 ,$22.95 ,$22.10 ,3.85%
4/24/2023 ,$23.38 ,$22.49 ,3.96%
4/21/2023 ,$23.57 ,$22.52 ,4.66%
4/20/2023 ,$23.52 ,$22.48 ,4.63%
4/19/2023 ,$23.67 ,$22.61 ,4.69%
4/18/2023 ,$23.71 ,$22.62 ,4.82%
4/17/2023 ,$23.60 ,$22.61 ,4.38%
4/14/2023 ,$23.62 ,$22.59 ,4.56%
4/13/2023 ,$23.74 ,$22.61 ,5.00%
04/12/2023,$23.43 ,$22.34 ,4.88%
04/11/2023,$23.34 ,$22.43 ,4.06%
04/10/2023,$23.55 ,$22.52 ,4.57%
04/06/2023,$23.62 ,$22.55 ,4.75%
