Date,Share Price,NAV,Discount
4/19/2024 ,$17.01 ,$20.38 ,-16.54%
4/18/2024 ,$17.38 ,$20.97 ,-17.12%
4/17/2024 ,$17.54 ,$21.38 ,-17.96%
4/16/2024 ,$17.80 ,$21.38 ,-16.74%
4/15/2024 ,$17.86 ,$21.49 ,-16.89%
04/12/2024,$18.27 ,$21.83 ,-16.31%
04/11/2024,$18.83 ,$22.32 ,-15.64%
04/10/2024,$18.54 ,$22.08 ,-16.03%
04/09/2024,$19.02 ,$22.26 ,-14.56%
04/08/2024,$18.97 ,$22.30 ,-14.93%
04/05/2024,$18.85 ,$22.31 ,-15.51%
04/04/2024,$18.94 ,$22.09 ,-14.26%
04/03/2024,$19.09 ,$22.31 ,-14.43%
04/02/2024,$19.10 ,$22.25 ,-14.16%
04/01/2024,$19.35 ,$22.33 ,-13.35%
3/27/2024 ,$19.21 ,$22.46 ,-14.47%
3/26/2024 ,$19.08 ,$22.37 ,-14.71%
3/25/2024 ,$18.95 ,$22.42 ,-15.48%
3/22/2024 ,$18.78 ,$22.34 ,-15.94%
3/21/2024 ,$18.64 ,$22.34 ,-16.56%
3/20/2024 ,$18.51 ,$22.05 ,-16.05%
3/19/2024 ,$18.32 ,$21.87 ,-16.23%
3/18/2024 ,$18.47 ,$21.93 ,-15.78%
3/15/2024 ,$18.45 ,$21.84 ,-15.52%
3/14/2024 ,$18.72 ,$22.10 ,-15.29%
3/13/2024 ,$18.91 ,$22.39 ,-15.54%
03/12/2024,$19.07 ,$22.55 ,-15.43%
03/11/2024,$18.92 ,$22.37 ,-15.42%
03/08/2024,$19.18 ,$22.58 ,-15.06%
03/07/2024,$19.25 ,$22.97 ,-16.20%
03/06/2024,$18.97 ,$22.49 ,-15.65%
03/05/2024,$18.61 ,$22.49 ,-17.25%
03/04/2024,$18.88 ,$22.78 ,-17.12%
03/01/2024,$18.89 ,$22.68 ,-16.71%
2/29/2024 ,$18.66 ,$22.39 ,-16.66%
2/28/2024 ,$18.69 ,$22.19 ,-15.77%
2/27/2024 ,$18.89 ,$22.43 ,-15.78%
2/26/2024 ,$18.79 ,$22.28 ,-15.66%
2/23/2024 ,$18.76 ,$22.15 ,-15.30%
2/22/2024 ,$18.69 ,$22.16 ,-15.66%
2/21/2024 ,$18.02 ,$21.69 ,-16.92%
2/20/2024 ,$18.14 ,$22.00 ,-17.55%
2/16/2024 ,$18.45 ,$22.20 ,-16.89%
2/15/2024 ,$18.57 ,$22.37 ,-16.99%
2/14/2024 ,$18.58 ,$22.19 ,-16.27%
2/13/2024 ,$18.43 ,$22.04 ,-16.38%
02/12/2024,$18.65 ,$22.32 ,-16.44%
02/09/2024,$18.38 ,$22.28 ,-17.50%
02/08/2024,$18.10 ,$22.01 ,-17.76%
02/07/2024,$17.74 ,$21.73 ,-18.36%
02/06/2024,$17.52 ,$21.58 ,-18.81%
02/05/2024,$17.33 ,$21.57 ,-19.66%
02/02/2024,$17.40 ,$21.63 ,-19.56%
02/01/2024,$17.38 ,$21.46 ,-19.01%
1/31/2024 ,$16.99 ,$21.25 ,-20.05%
1/30/2024 ,$17.21 ,$21.49 ,-19.92%
1/29/2024 ,$17.25 ,$21.61 ,-20.18%
1/26/2024 ,$17.03 ,$21.40 ,-20.42%
1/25/2024 ,$16.88 ,$21.49 ,-21.45%
1/24/2024 ,$16.98 ,$21.60 ,-21.39%
1/23/2024 ,$16.80 ,$21.62 ,-22.29%
1/22/2024 ,$16.84 ,$21.57 ,-21.93%
1/19/2024 ,$16.84 ,$21.40 ,-21.31%
1/18/2024 ,$16.64 ,$21.18 ,-21.44%
1/17/2024 ,$16.48 ,$20.97 ,-21.41%
1/16/2024 ,$16.56 ,$21.09 ,-21.48%
01/12/2024,$16.79 ,$21.11 ,-20.46%
01/11/2024,$16.85 ,$21.14 ,0.00%
01/10/2024,$16.99 ,$21.24 ,-20.01%
01/09/2024,$16.93 ,$21.18 ,-20.07%
01/08/2024,$16.89 ,$21.15 ,-20.14%
01/05/2024,$16.53 ,$20.83 ,-20.64%
01/04/2024,$16.45 ,$20.83 ,-21.03%
01/03/2024,$16.36 ,$20.83 ,-21.46%
01/02/2024,$16.42 ,$21.08 ,-22.11%
12/29/2023 ,$16.71 ,$21.40 ,-21.92%
12/28/2023 ,$16.92 ,$21.55 ,-21.48%
12/27/2023 ,$17.01 ,$21.52 ,-20.96%
12/26/2023 ,$17.04 ,$21.49 ,-20.71%
12/22/2023 ,$16.97 ,$21.38 ,-20.63%
12/21/2023 ,$16.99 ,$21.44 ,-20.76%
12/20/2023 ,$16.76 ,$21.17 ,-20.83%
12/19/2023 ,$17.04 ,$21.43 ,-20.49%
12/18/2023 ,$17.00 ,$21.34 ,-20.34%
12/15/2023 ,$16.97 ,$21.31 ,-20.37%
12/14/2023 ,$17.15 ,$21.35 ,-19.67%
12/13/2023 ,$17.11 ,$21.21 ,-19.33%
12/12/2023,$16.82 ,$20.88 ,-19.44%
12/11/2023,$16.80 ,$20.88 ,-19.54%
12/08/2023,$16.78 ,$20.81 ,-19.37%
12/07/2023,$16.68 ,$20.71 ,-19.46%
12/06/2023,$16.50 ,$20.66 ,-20.14%
12/05/2023,$16.59 ,$20.66 ,-19.70%
12/04/2023,$16.81 ,$20.68 ,-18.71%
12/01/2023,$17.18 ,$20.87 ,-17.68%
11/30/2023 ,$16.96 ,$20.71 ,-18.11%
11/29/2023 ,$17.15 ,$20.71 ,-17.19%
11/28/2023 ,$17.00 ,$20.71 ,-17.91%
11/27/2023 ,$16.94 ,$20.62 ,-17.85%
11/24/2023 ,$16.90 ,$20.71 ,-18.40%
11/22/2023 ,$16.83 ,$20.66 ,-18.54%
11/21/2023 ,$16.81 ,$20.64 ,-18.56%
11/20/2023 ,$16.91 ,$20.85 ,-18.90%
11/17/2023 ,$16.57 ,$20.64 ,-19.72%
11/16/2023 ,$16.38 ,$20.53 ,-20.21%
11/15/2023 ,$16.50 ,$20.59 ,-19.86%
