Date,Share Price,NAV,Discount
6/29/2023 ,$34.26 ,$33.80 ,1.36%
6/28/2023 ,$34.13 ,$33.83 ,0.89%
6/27/2023 ,$33.72 ,$33.73 ,-0.03%
6/26/2023 ,$33.23 ,$33.30 ,-0.21%
6/23/2023 ,$33.40 ,$33.60 ,-0.60%
6/22/2023 ,$33.76 ,$33.85 ,-0.27%
6/20/2023 ,$33.87 ,$34.12 ,-0.73%
6/16/2023 ,$33.95 ,$34.17 ,-0.64%
6/15/2023 ,$34.42 ,$34.26 ,0.47%
6/14/2023 ,$33.93 ,$34.02 ,-0.26%
6/13/2023 ,$34.19 ,$34.07 ,0.35%
06/12/2023,$34.35 ,$33.86 ,1.45%
06/09/2023,$34.31 ,$33.43 ,2.63%
06/08/2023,$34.27 ,$33.31 ,2.88%
06/07/2023,$33.67 ,$33.08 ,1.78%
06/06/2023,$34.35 ,$33.42 ,2.78%
06/05/2023,$34.18 ,$33.35 ,2.49%
06/02/2023,$34.01 ,$33.34 ,2.01%
06/01/2023,$33.67 ,$32.98 ,2.09%
5/31/2023 ,$33.08 ,$32.62 ,1.41%
5/30/2023 ,$33.35 ,$32.76 ,1.80%
5/26/2023 ,$33.28 ,$32.99 ,0.88%
5/25/2023 ,$32.18 ,$32.47 ,-0.89%
5/24/2023 ,$31.73 ,$31.81 ,-0.25%
5/23/2023 ,$31.82 ,$32.00 ,-0.56%
5/22/2023 ,$32.31 ,$32.18 ,0.40%
5/19/2023 ,$32.18 ,$32.05 ,0.41%
5/18/2023 ,$32.03 ,$32.00 ,0.09%
5/17/2023 ,$32.03 ,$31.55 ,1.52%
5/16/2023 ,$31.50 ,$31.21 ,0.93%
5/15/2023 ,$31.45 ,$31.19 ,0.83%
05/12/2023,$31.18 ,$30.98 ,0.65%
05/11/2023,$31.58 ,$31.28 ,0.96%
05/10/2023,$31.28 ,$31.22 ,0.19%
05/09/2023,$31.31 ,$30.96 ,1.13%
05/08/2023,$31.43 ,$31.10 ,1.06%
05/05/2023,$31.25 ,$31.00 ,0.81%
05/04/2023,$30.63 ,$30.56 ,0.23%
05/03/2023,$30.89 ,$30.61 ,0.91%
05/02/2023,$31.11 ,$30.76 ,1.14%
05/01/2023,$31.52 ,$30.99 ,1.71%
4/27/2023 ,$31.12 ,$30.87 ,0.81%
4/26/2023 ,$30.61 ,$30.37 ,0.79%
4/25/2023 ,$30.25 ,$30.31 ,-0.20%
4/24/2023 ,$30.85 ,$30.98 ,-0.42%
4/21/2023 ,$31.01 ,$31.14 ,-0.42%
4/20/2023 ,$31.03 ,$31.14 ,-0.35%
4/19/2023 ,$31.34 ,$31.30 ,0.13%
4/18/2023 ,$31.57 ,$31.41 ,0.51%
4/17/2023 ,$31.57 ,$31.34 ,0.73%
4/14/2023 ,$31.80 ,$31.34 ,1.47%
4/13/2023 ,$31.70 ,$31.41 ,0.92%
04/12/2023,$31.55 ,$31.22 ,1.06%
04/11/2023,$31.93 ,$31.43 ,1.59%
04/10/2023,$31.78 ,$31.50 ,0.89%
04/06/2023,$32.04 ,$31.46 ,1.84%
04/05/2023,$31.45 ,$31.39 ,0.19%
04/04/2023,$31.84 ,$31.72 ,0.38%
04/03/2023,$32.09 ,$31.79 ,0.94%
3/31/2023 ,$32.34 ,$31.88 ,1.44%
3/30/2023 ,$31.95 ,$31.59 ,1.14%
3/29/2023 ,$31.61 ,$31.35 ,0.83%
3/28/2023 ,$30.96 ,$30.97 ,-0.03%
3/27/2023 ,$31.27 ,$31.03 ,0.77%
