Date,Share Price,NAV,Discount
7/24/2023 ,$18.72 ,$19.98 ,-6.31%
7/21/2023 ,$18.88 ,$20.02 ,-5.69%
7/20/2023 ,$18.71 ,$20.04 ,-6.64%
7/19/2023 ,$19.01 ,$20.31 ,-6.40%
7/18/2023 ,$18.90 ,$20.31 ,-6.94%
7/17/2023 ,$18.85 ,$20.17 ,-6.54%
7/14/2023 ,$18.71 ,$20.01 ,-6.50%
7/13/2023 ,$18.81 ,$20.08 ,-6.32%
07/12/2023,$18.65 ,$19.89 ,-6.23%
07/11/2023,$18.73 ,$19.91 ,-5.93%
07/10/2023,$18.65 ,$19.81 ,-5.86%
07/07/2023,$18.61 ,$19.61 ,-5.10%
07/06/2023,$18.61 ,$19.60 ,-5.05%
07/05/2023,$18.67 ,$19.80 ,-5.71%
07/03/2023,$18.64 ,$19.86 ,-6.14%
6/30/2023 ,$18.40 ,$19.91 ,-7.58%
6/29/2023 ,$18.07 ,$19.69 ,-8.23%
6/28/2023 ,$18.02 ,$19.66 ,-8.34%
6/27/2023 ,$17.96 ,$19.64 ,-8.55%
6/26/2023 ,$17.88 ,$19.39 ,-7.79%
6/23/2023 ,$18.10 ,$19.45 ,-6.94%
6/22/2023 ,$17.90 ,$19.63 ,-8.81%
6/20/2023 ,$18.10 ,$19.72 ,-8.22%
6/16/2023 ,$18.36 ,$19.79 ,-7.23%
6/15/2023 ,$18.40 ,$19.88 ,-7.44%
6/14/2023 ,$18.42 ,$19.75 ,-6.73%
6/13/2023 ,$18.08 ,$19.74 ,-8.41%
06/12/2023,$17.93 ,$19.60 ,-8.52%
06/09/2023,$17.58 ,$19.37 ,-9.24%
06/08/2023,$17.71 ,$19.48 ,-9.09%
06/07/2023,$17.52 ,$19.38 ,-9.60%
06/06/2023,$17.70 ,$19.53 ,-9.37%
06/05/2023,$17.23 ,$19.49 ,-11.60%
06/02/2023,$17.16 ,$19.51 ,-12.05%
06/01/2023,$16.84 ,$19.34 ,-12.93%
5/31/2023 ,$16.71 ,$19.16 ,-12.79%
5/30/2023 ,$16.76 ,$19.24 ,-12.89%
5/26/2023 ,$16.71 ,$19.20 ,-12.97%
5/25/2023 ,$16.40 ,$18.96 ,-13.50%
5/24/2023 ,$16.20 ,$18.71 ,-13.42%
5/23/2023 ,$16.41 ,$18.84 ,-12.90%
5/22/2023 ,$16.57 ,$19.05 ,-13.02%
5/19/2023 ,$16.55 ,$19.00 ,-12.89%
5/18/2023 ,$16.59 ,$19.04 ,-12.87%
5/17/2023 ,$16.46 ,$18.87 ,-12.77%
5/16/2023 ,$16.37 ,$18.68 ,-12.37%
5/15/2023 ,$16.49 ,$18.79 ,-12.24%
05/12/2023,$16.41 ,$18.71 ,-12.29%
05/11/2023,$16.45 ,$18.71 ,-12.08%
05/10/2023,$16.46 ,$18.72 ,-12.07%
05/09/2023,$16.63 ,$18.80 ,-11.54%
05/08/2023,$16.57 ,$18.85 ,-12.10%
05/05/2023,$16.59 ,$18.79 ,-11.71%
05/04/2023,$16.48 ,$18.60 ,-11.40%
05/03/2023,$16.66 ,$18.72 ,-11.00%
05/02/2023,$16.79 ,$18.77 ,-10.55%
05/01/2023,$16.88 ,$18.95 ,-10.92%
4/27/2023 ,$16.55 ,$18.81 ,-12.01%
4/26/2023 ,$16.34 ,$18.66 ,-12.43%
4/25/2023 ,$16.46 ,$18.77 ,-12.31%
4/24/2023 ,$16.83 ,$19.07 ,-11.75%
4/21/2023 ,$16.83 ,$19.08 ,-11.79%
4/20/2023 ,$16.95 ,$19.09 ,-11.21%
4/19/2023 ,$17.10 ,$19.20 ,-10.94%
4/18/2023 ,$17.25 ,$19.31 ,-10.67%
4/17/2023 ,$17.23 ,$19.26 ,-10.54%
