Date,Share Price,NAV,Discount
3/13/2024 ,$31.87 ,$30.52 ,4.42%
03/12/2024,$32.45 ,$30.74 ,5.56%
03/11/2024,$32.06 ,$30.40 ,5.46%
03/08/2024,$32.70 ,$30.50 ,7.21%
03/07/2024,$33.31 ,$30.91 ,7.76%
03/06/2024,$32.93 ,$30.43 ,8.22%
03/05/2024,$32.95 ,$30.18 ,9.18%
03/04/2024,$33.80 ,$30.56 ,10.60%
03/01/2024,$33.88 ,$30.62 ,10.65%
2/29/2024 ,$33.03 ,$29.89 ,10.51%
2/28/2024 ,$32.69 ,$29.57 ,10.55%
2/27/2024 ,$32.74 ,$29.70 ,10.24%
2/26/2024 ,$32.53 ,$29.67 ,9.64%
2/23/2024 ,$32.25 ,$29.63 ,8.84%
2/22/2024 ,$32.10 ,$29.64 ,8.30%
2/21/2024 ,$31.54 ,$28.96 ,8.91%
2/20/2024 ,$31.89 ,$29.12 ,9.51%
2/16/2024 ,$32.61 ,$29.51 ,10.50%
2/15/2024 ,$33.55 ,$30.48 ,10.07%
2/14/2024 ,$33.54 ,$30.48 ,10.04%
2/13/2024 ,$33.36 ,$30.05 ,11.01%
02/12/2024,$34.05 ,$30.72 ,10.84%
02/09/2024,$33.85 ,$30.70 ,10.26%
02/08/2024,$33.42 ,$30.25 ,10.48%
02/07/2024,$33.13 ,$30.04 ,10.29%
02/06/2024,$32.84 ,$29.75 ,10.39%
02/05/2024,$32.99 ,$29.84 ,10.56%
02/02/2024,$32.81 ,$29.75 ,10.29%
02/01/2024,$32.63 ,$29.67 ,9.98%
1/31/2024 ,$32.41 ,$29.33 ,10.50%
1/30/2024 ,$32.96 ,$29.97 ,9.98%
1/29/2024 ,$33.29 ,$30.16 ,10.38%
1/26/2024 ,$32.91 ,$29.93 ,9.96%
1/25/2024 ,$33.22 ,$30.21 ,9.96%
1/24/2024 ,$33.13 ,$30.13 ,9.96%
1/23/2024 ,$32.39 ,$30.03 ,7.86%
1/22/2024 ,$32.50 ,$29.94 ,8.55%
1/19/2024 ,$32.06 ,$29.66 ,8.09%
1/18/2024 ,$31.36 ,$28.94 ,8.36%
