Date,Share Price,NAV,Discount (%)
2022-11-11,$17.68 ,$21.18 ,-0.16288
2022-11-18,$17.01 ,$20.60 ,-0.17772000000000002
2022-11-25,$17.36 ,$20.61 ,-0.16535
2022-12-02,$17.76 ,$21.07 ,-0.16672
2022-12-09,$16.85 ,$20.62 ,-0.17946
2022-12-16,$16.53 ,$20.06 ,-0.17022
2022-12-23,$15.85 ,$19.37 ,-0.18662
2022-12-30,$15.74 ,$19.55 ,-0.19363333333333332
2023-01-06,$16.36 ,$19.62 ,-0.168475
2023-01-13,$17.01 ,$20.36 ,-0.1607
2023-01-20,$17.45 ,$20.51 ,-0.15746666666666667
2023-01-27,$18.60 ,$21.46 ,-0.13784000000000002
2023-02-03,$18.74 ,$21.33 ,-0.12524
2023-02-10,$18.49 ,$21.10 ,-0.12101999999999999
2023-02-17,$17.98 ,$20.69 ,-0.125
2023-02-24,$17.34 ,$20.30 ,-0.14272500000000002
2023-03-03,$17.96 ,$20.62 ,-0.1297
2023-03-10,$16.73 ,$20.11 ,-0.13826
2023-03-17,$16.61 ,$19.79 ,-0.15908
2023-03-24,$16.86 ,$19.94 ,-0.15548
2023-03-31,$18.69 ,$20.56 ,-0.13382
2023-04-07,$17.45 ,$20.13 ,-0.12805
2023-04-14,$17.34 ,$20.10 ,-0.13368
2023-04-21,$16.93 ,$19.92 ,-0.146
2023-04-28,$16.19 ,$19.65 ,-0.1607
2023-05-05,$16.52 ,$19.52 ,-0.15572000000000003
2023-05-12,$16.12 ,$19.41 ,-0.16433999999999999
2023-05-19,$16.68 ,$20.20 ,-0.17207999999999998
2023-05-26,$17.68 ,$21.00 ,-0.17156000000000002
2023-06-02,$17.88 ,$21.05 ,-0.149775
2023-06-09,$17.79 ,$21.12 ,-0.15336
2023-06-16,$17.95 ,$21.62 ,-0.1606
2023-06-23,$17.69 ,$21.13 ,-0.16473333333333331
2023-06-30,$18.11 ,$21.50 ,-0.16022
2023-07-07,$18.15 ,$21.27 ,-0.15065
2023-07-14,$18.51 ,$21.88 ,-0.14832
2023-07-21,$18.36 ,$21.67 ,-0.15808
2023-07-28,$18.43 ,$21.98 ,-0.1594
2023-08-04,$18.36 ,$21.46 ,-0.14250000000000002
2023-08-11,$18.01 ,$20.88 ,-0.13582
2023-08-18,$16.99 ,$20.07 ,-0.14996
2023-08-25,$17.13 ,$20.33 ,-0.15848
2023-09-01,$17.95 ,$21.31 ,-0.16534
2023-09-08,$17.50 ,$20.99 ,-0.165225
2023-09-15,$16.56 ,$20.68 ,-0.19332
2023-09-22,$16.48 ,$20.22 ,-0.19292
2023-09-29,$16.50 ,$20.33 ,-0.18608
2023-10-06,$16.22 ,$20.51 ,-0.19926
2023-10-13,$15.69 ,$20.18 ,-0.21547999999999998
2023-10-20,$14.75 ,$19.48 ,-0.23418
2023-10-27,$14.16 ,$19.00 ,-0.25022
2023-11-03,$15.76 ,$19.74 ,-0.22690000000000002
2023-11-10,$15.95 ,$20.08 ,-0.20884
2023-11-17,$16.57 ,$20.64 ,-0.19894
2023-11-24,$16.90 ,$20.71 ,-0.186
2023-12-01,$17.18 ,$20.87 ,-0.17748
2023-12-08,$16.78 ,$20.81 ,-0.19476
2023-12-15,$16.97 ,$21.31 ,-0.1967
2023-12-22,$16.97 ,$21.38 ,-0.2061
2023-12-29,$16.71 ,$21.40 ,-0.212675
2024-01-05,$16.53 ,$20.83 ,-0.2131
2024-01-12,$16.79 ,$21.11 ,-0.16136
2024-01-19,$16.84 ,$21.40 ,-0.2141
2024-01-26,$17.03 ,$21.40 ,-0.21495999999999998
2024-02-02,$17.40 ,$21.63 ,-0.19744
2024-02-09,$18.38 ,$22.28 ,-0.18417999999999998
2024-02-16,$18.45 ,$22.20 ,-0.16594
2024-02-23,$18.76 ,$22.15 ,-0.163575
2024-03-01,$18.89 ,$22.68 ,-0.16116
2024-03-08,$19.18 ,$22.58 ,-0.16255999999999998
2024-03-15,$18.45 ,$21.84 ,-0.1544
2024-03-22,$18.78 ,$22.34 ,-0.16111999999999999
2024-03-29,$19.21 ,$22.46 ,-0.14886666666666667
2024-04-05,$18.85 ,$22.31 ,-0.14342
2024-04-12,$18.27 ,$21.83 ,-0.15494
2024-04-19,$17.01 ,$20.38 ,-0.1705
2024-04-26,$17.62 ,$21.43 ,-0.1695
2024-05-03,$17.84 ,$21.41 ,-0.1711
2024-05-10,$18.23 ,$21.54 ,-0.15566
2024-05-17,$18.44 ,$22.01 ,-0.15954
2024-05-24,$19.35 ,$22.40 ,-0.14298
2024-05-31,$19.71 ,$22.16 ,-0.122475
2024-06-07,$19.38 ,$22.25 ,-0.11701999999999999
2024-06-14,$19.56 ,$22.85 ,-0.13246
2024-06-21,$19.57 ,$22.55 ,-0.13515
2024-06-28,$19.87 ,$22.80 ,-0.130325
2024-07-05,$20.39 ,$23.20 ,-0.114175
2024-07-12,$20.46 ,$23.12 ,-0.12092
2024-07-19,$19.45 ,$21.86 ,-0.10636000000000001
2024-07-26,$18.54 ,$21.36 ,-0.12080000000000002
2024-08-02,$17.61 ,$20.32 ,-0.11901999999999999
2024-08-09,$18.24 ,$20.48 ,-0.12118
2024-08-16,$19.02 ,$21.48 ,-0.10808
2024-08-23,$19.53 ,$21.79 ,-0.10740000000000001
2024-08-30,$19.37 ,$21.30 ,-0.09696
2024-09-06,$18.11 ,$20.00 ,-0.090475
2024-09-13,$18.91 ,$20.99 ,-0.09903999999999999
2024-09-20,$18.76 ,$20.97 ,-0.1004
2024-09-27,$19.30 ,$21.56 ,-0.10547999999999999
2024-10-04,$19.25 ,$21.56 ,-0.10036
2024-10-11,$19.36 ,$22.29 ,-0.12412000000000001
2024-10-18,$19.50 ,$22.08 ,-0.11721999999999999
2024-10-25,$19.96 ,$22.23 ,-0.10669999999999999
2024-11-01,$19.98 ,$21.91 ,-0.0971
