Date,Share Price,NAV,Discount (%)
2022-03-25,$43.99 ,$44.94 ,-0.018539999999999997
2022-04-01,$43.76 ,$45.08 ,-0.03946
2022-04-08,$41.55 ,$43.44 ,-0.04278
2022-04-15,$39.78 ,$42.28 ,-0.0526
2022-04-22,$39.01 ,$40.34 ,-0.0393
2022-04-29,$37.64 ,$39.98 ,-0.048519999999999994
2022-05-06,$37.63 ,$38.91 ,-0.03596
2022-05-13,$36.09 ,$37.14 ,-0.036359999999999996
2022-05-20,$35.02 ,$36.38 ,-0.02818
2022-05-27,$37.70 ,$37.63 ,-0.01768
2022-06-03,$37.45 ,$37.67 ,-0.0017249999999999998
2022-06-10,$35.10 ,$36.11 ,-0.01414
2022-06-17,$32.17 ,$33.70 ,-0.040940000000000004
2022-06-24,$34.71 ,$35.94 ,-0.042325
2022-07-01,$33.18 ,$33.60 ,-0.023579999999999997
2022-07-08,$34.16 ,$34.96 ,-0.020325
2022-07-15,$33.86 ,$33.79 ,-0.006
2022-07-22,$34.92 ,$35.44 ,-0.02074
2022-07-29,$35.99 ,$35.80 ,-0.0053750000000000004
2022-08-05,$37.34 ,$36.83 ,0.02208
2022-08-12,$38.73 ,$37.18 ,0.02262
2022-08-19,$36.53 ,$36.40 ,0.01588
2022-08-26,$35.40 ,$35.36 ,0.00304
2022-09-02,$34.19 ,$33.92 ,0.00882
2022-09-09,$35.50 ,$35.06 ,0.00995
2022-09-16,$32.66 ,$33.57 ,-0.00804
2022-09-23,$30.27 ,$31.59 ,-0.0349
2022-09-30,$29.38 ,$31.02 ,-0.049640000000000004
2022-10-07,$29.93 ,$31.25 ,-0.03942
2022-10-14,$28.35 ,$29.54 ,-0.04246
2022-10-21,$29.65 ,$31.01 ,-0.043719999999999995
2022-10-28,$31.22 ,$31.32 ,-0.0208
2022-11-04,$30.02 ,$29.79 ,0.0109
2022-11-11,$32.40 ,$31.75 ,0.018779999999999998
2022-11-18,$31.61 ,$31.04 ,0.0191
2022-11-25,$31.37 ,$31.17 ,0.0103
2022-12-02,$32.09 ,$31.53 ,0.01394
2022-12-09,$30.93 ,$30.79 ,-0.0009000000000000004
2022-12-16,$30.63 ,$29.98 ,0.013340000000000001
2022-12-23,$28.93 ,$29.12 ,0.0014199999999999998
2022-12-30,$28.07 ,$29.16 ,-0.022000000000000002
2023-01-06,$29.62 ,$29.34 ,-0.00545
2023-01-13,$31.45 ,$30.47 ,0.032440000000000004
2023-01-20,$31.68 ,$30.67 ,0.02315
2023-01-27,$33.57 ,$31.98 ,0.03666
2023-02-03,$33.13 ,$32.08 ,0.05458
2023-02-10,$32.43 ,$31.76 ,0.02516
2023-02-17,$32.06 ,$31.43 ,0.02414
2023-02-24,$31.21 ,$30.70 ,0.015475000000000001
2023-03-03,$32.38 ,$31.34 ,0.02656
2023-03-10,$31.78 ,$30.72 ,0.028700000000000003
2023-03-17,$31.22 ,$30.80 ,0.02294
2023-03-24,$31.35 ,$31.11 ,0.014020000000000001
2023-03-31,$32.34 ,$31.88 ,0.008299999999999998
2023-04-07,$32.04 ,$31.46 ,0.008375
2023-04-14,$31.80 ,$31.34 ,0.011859999999999999
2023-04-21,$31.01 ,$31.14 ,0.0012000000000000001
2023-04-28,$31.12 ,$30.87 ,0.002450000000000001
2023-05-05,$31.25 ,$31.00 ,0.009600000000000001
2023-05-12,$31.18 ,$30.98 ,0.00798
2023-05-19,$32.18 ,$32.05 ,0.00756
2023-05-26,$33.28 ,$32.99 ,-0.0008400000000000001
2023-06-02,$34.01 ,$33.34 ,0.018275
2023-06-09,$34.31 ,$33.43 ,0.025119999999999996
2023-06-16,$33.95 ,$34.17 ,0.0027399999999999994
2023-06-23,$33.40 ,$33.60 ,-0.005333333333333333
2023-06-30,$34.44 ,$34.14 ,0.00578
2023-07-07,$34.42 ,$33.86 ,0.0108
2023-07-14,$34.46 ,$34.72 ,0.0006000000000000004
2023-07-21,$34.39 ,$34.42 ,-0.00172
