Date,Share Price,NAV,Discount (%)
2024-05-10,$31.16 ,$30.65 ,0.01774
2024-05-17,$31.72 ,$31.23 ,0.01204
2024-05-24,$32.39 ,$31.96 ,0.012440000000000001
2024-05-31,$32.00 ,$31.55 ,0.013
2024-06-07,$32.44 ,$31.86 ,0.01668
2024-06-14,$33.32 ,$32.69 ,0.01756
2024-06-21,$33.14 ,$32.57 ,0.01785
2024-06-28,$33.09 ,$32.61 ,0.0158
2024-07-05,$34.17 ,$33.31 ,0.021400000000000002
2024-07-12,$34.24 ,$33.65 ,0.01874
2024-07-19,$32.77 ,$32.31 ,0.01174
2024-07-26,$32.63 ,$31.70 ,0.02494
2024-08-02,$31.11 ,$30.41 ,0.026139999999999997
2024-08-09,$31.29 ,$30.63 ,0.017099999999999997
2024-08-16,$32.69 ,$32.23 ,0.02012
2024-08-23,$32.71 ,$32.17 ,0.01716
2024-08-30,$32.90 ,$32.16 ,0.02772
2024-09-06,$30.94 ,$29.80 ,0.035875
2024-09-13,$32.10 ,$31.63 ,0.02104
2024-09-20,$32.95 ,$32.21 ,0.02268
2024-09-27,$33.14 ,$32.55 ,0.01958
2024-10-04,$33.24 ,$32.69 ,0.02012
2024-10-11,$33.65 ,$33.19 ,0.01484
2024-10-18,$33.44 ,$33.08 ,0.01086
2024-10-25,$32.89 ,$32.82 ,0.0070599999999999994
2024-11-01,$32.73 ,$32.45 ,-0.0006249999999999997
