Date,Share Price,NAV,Discount (%)
2022-02-18,$25.78 ,$26.43 ,-0.02658
2022-02-25,$25.95 ,$26.69 ,-0.033125
2022-03-04,$26.03 ,$26.24 ,-0.01714
2022-03-11,$25.56 ,$25.45 ,-0.0061600000000000005
2022-03-18,$26.88 ,$26.98 ,-0.00614
2022-03-25,$27.94 ,$27.46 ,0.01114
2022-04-01,$28.65 ,$27.50 ,0.02854
2022-04-08,$27.42 ,$26.90 ,0.0226
2022-04-15,$26.46 ,$26.21 ,0.0076
2022-04-22,$26.40 ,$25.58 ,0.01618
2022-04-29,$25.03 ,$24.76 ,0.010020000000000001
2022-05-06,$24.70 ,$24.56 ,0.004700000000000001
2022-05-13,$23.90 ,$23.91 ,0.010239999999999999
2022-05-20,$23.21 ,$22.92 ,0.01116
2022-05-27,$24.46 ,$23.94 ,0.015480000000000002
2022-06-03,$24.27 ,$23.87 ,0.0174
2022-06-10,$23.77 ,$22.96 ,0.025
2022-06-17,$21.34 ,$21.53 ,0.009519999999999999
2022-06-24,$22.69 ,$22.67 ,-0.007025
2022-07-01,$22.23 ,$22.10 ,0.0
2022-07-08,$23.03 ,$22.73 ,0.013825
2022-07-15,$23.25 ,$22.80 ,0.01538
2022-07-22,$24.08 ,$23.26 ,0.030580000000000003
2022-07-29,$24.31 ,$23.60 ,0.0276
2022-08-05,$24.63 ,$24.11 ,0.02876
2022-08-12,$24.99 ,$24.46 ,0.025419999999999998
2022-08-19,$24.51 ,$24.06 ,0.01716
2022-08-26,$23.48 ,$23.04 ,0.013819999999999999
2022-09-02,$22.36 ,$22.16 ,0.00922
2022-09-09,$23.18 ,$23.04 ,0.0072499999999999995
2022-09-16,$21.79 ,$21.29 ,0.02702
2022-09-23,$20.96 ,$20.50 ,0.02042
2022-09-30,$20.51 ,$19.93 ,0.02194
2022-10-07,$21.37 ,$20.11 ,0.061459999999999994
2022-10-14,$21.29 ,$19.59 ,0.08234
2022-10-21,$21.71 ,$20.63 ,0.07536000000000001
2022-10-28,$22.67 ,$20.80 ,0.07254000000000001
2022-11-04,$21.70 ,$20.00 ,0.08732000000000001
2022-11-11,$23.42 ,$21.23 ,0.0947
2022-11-18,$22.82 ,$21.00 ,0.08222
2022-11-25,$22.67 ,$21.17 ,0.08052500000000001
2022-12-02,$22.01 ,$21.45 ,0.04922
2022-12-09,$21.72 ,$20.92 ,0.03318
2022-12-16,$21.32 ,$20.02 ,0.05848
2022-12-23,$20.45 ,$19.67 ,0.04938
2022-12-30,$20.18 ,$19.63 ,0.03613333333333333
2023-01-06,$21.06 ,$19.76 ,0.07485
2023-01-13,$22.52 ,$20.60 ,0.09094
2023-01-20,$22.27 ,$20.94 ,0.057325
2023-01-27,$22.68 ,$21.45 ,0.06308
2023-02-03,$23.35 ,$21.96 ,0.060899999999999996
2023-02-10,$23.34 ,$21.72 ,0.0661
2023-02-17,$23.01 ,$21.79 ,0.07746
2023-02-24,$22.93 ,$21.28 ,0.0702
