Date,Adj Close,Close,High,Low,Open,Volume,Share Turnover,Weighted ST
01/07/2022,3.670000076,3.670000076,4.0,3.569999933,3.789999962,712500,0.00284329,8.206476100546385e-06
08/07/2022,3.690000057,3.690000057,3.839999914,3.5,3.680000067,354900,0.001416258,2.3198623682693504e-06
15/07/2022,3.609999895,3.609999895,3.829999924,3.440000057,3.670000076,844600,0.003370446,1.4312412286232287e-05
22/07/2022,2.720000029,2.720000029,3.770999908,2.680000067,3.670000076,934600,0.003729598,1.5514310165825973e-05
29/07/2022,2.539999962,2.539999962,2.950000048,2.440000057,2.869999886,742000,0.002961012,1.3655427586927012e-05
05/08/2022,2.700000048,2.700000048,4.340000153,2.329999924,2.589999914,11934100,0.047624007,0.0024731629435625927
12/08/2022,1.919999957,1.919999957,3.309999943,1.860000014,3.00999999,5915600,0.023606688,0.00040506848142470405
19/08/2022,1.570000052,1.570000052,1.980000019,1.570000052,1.950000048,2078200,0.008293228,8.500173815794407e-05
26/08/2022,1.529999971,1.529999971,1.700000048,1.370000005,1.580000043,1601300,0.006390119,5.716849558239528e-05
02/09/2022,1.460000038,1.460000038,1.629999995,1.429999948,1.529999971,832300,0.003321362,1.3688345529055126e-05
09/09/2022,1.419999957,1.419999957,1.5,1.230999947,1.5,962700,0.003841734,1.8100305935346775e-05
16/09/2022,1.480000019,1.480000019,1.559999943,1.389999986,1.480000019,547100,0.002183248,4.808416841244205e-06
23/09/2022,1.330000043,1.330000043,1.559999943,1.210000038,1.49000001,402600,0.001606608,2.8968557511613033e-06
30/09/2022,1.570000052,1.570000052,1.799999952,1.190000057,1.299999952,56739400,0.226423241,0.038717213978799306
07/10/2022,1.480000019,1.480000019,2.079999924,1.370000005,1.590000033,8642500,0.034488607,0.0013838682578344878
14/10/2022,1.299999952,1.299999952,1.455000043,1.228000045,1.419999957,1283900,0.005123509,3.078714239292718e-05
21/10/2022,1.230000019,1.230000019,1.350000024,1.110000014,1.289999962,600100,0.002394748,7.681751667484506e-06
